         Angle (radians)          Energy (kJ/mol)
           0.0000000000            0.0085853845
           0.1745329252            0.0200483168
           0.3490658504            0.0444470870
           0.5235987756            0.0554059235
           0.6981317008            0.0386106009
           0.8726646260            0.0114996894
           1.0471975512            0.0006721279
           1.2217304764            0.0146896717
           1.3962634016            0.0378938394
           1.5707963268            0.0499291308
           1.7453292520            0.0382010229
           1.9198621772            0.0155692141
           2.0943951024            0.0005933630
           2.2689280276            0.0108564419
           2.4434609528            0.0369381574
           2.6179938780            0.0515201836
           2.7925268032            0.0384373178
           2.9670597284            0.0145006356
           3.1415926536            0.0062171836
           3.3161255788            0.0218940433
           3.4906585040            0.0467522760
           3.6651914292            0.0556868520
           3.8397243544            0.0416456787
           4.0142572796            0.0147316797
           4.1887902048            0.0000000000
           4.3633231300            0.0097773613
           4.5378560552            0.0324538036
           4.7123889804            0.0454815341
           4.8869219056            0.0331600631
           5.0614548308            0.0098482500
           5.2359877560            0.0002126655
           5.4105206812            0.0169659801
           5.5850536064            0.0440007521
           5.7595865316            0.0576375984
           5.9341194568            0.0457913429
           6.1086523820            0.0206127993
           6.2831853072            0.0056106931
